,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
9529,Pooja Forge,3.6,Industrial Machinery,Faridabad,6,"Promotions / Appraisal, Salary & Benefits, Company Culture",,110,449,13,2,9
9530,Jamia Millia Islamia,4.5,Education & Training,New Delhi,6,"Company Culture, Work Life Balance, Work Satisfaction",,110,367,2,--,15
9531,Emirates Global Aluminium,4.0,Metals & Mining,Dubai,6,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,110,278,8,--,10
9532,Imdaad,4.5,Facility Management Services,Dubai,9,"Job Security, Skill Development / Learning, Company Culture",,110,167,7,--,14
9533,Udaipur Cement Works,3.8,Building Material,Udaipur,12,Work Life Balance,Job Security,110,494,9,--,3
9534,Mavrix,3.4,Analytics & KPO,Ahmedabad,7,"Promotions / Appraisal, Skill Development / Learning, Work Life Balance",,110,333,9,--,5
9535,Sekhmet Technologies,3.7,IT Services & Consulting,Gurgaon / Gurugram,9,"Promotions / Appraisal, Job Security, Skill Development / Learning",,110,590,11,--,1
9536,Pentair Water India,3.9,Industrial Machinery,Noida,10,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,110,492,9,4,15
9537,Ingenuity Gaming,3.1,Food Processing,Noida,6,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,110,895,17,8,9
9538,JK Organisation,4.0,Auto Components,New Delhi,30,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,110,569,7,--,2
9539,Municipal Council,4.2,Nagpur +64 other locations,,0,"Work Life Balance, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Job Security",110,414,2,--,3
9540,Aashman Foundation,3.7,New Delhi +16 other locations,,0,Work Life Balance,"Salary & Benefits, Job Security, Company Culture",110,148,30,--,6
9541,Sekhmet Technologies,3.7,IT Services & Consulting,Gurgaon / Gurugram,9,"Promotions / Appraisal, Job Security, Skill Development / Learning",,110,590,11,--,1
9542,Nitin Spinners,4.4,Fashion & Textile,Bhilwara,7,"Work Life Balance, Job Security, Company Culture",,110,449,4,--,4
9543,Pentair Water India,3.9,Industrial Machinery,Noida,10,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,110,492,9,4,15
9544,Ingenuity Gaming,3.1,Food Processing,Noida,6,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,110,895,17,8,9
9545,Jamia Millia Islamia,4.5,Education & Training,New Delhi,6,"Company Culture, Work Life Balance, Work Satisfaction",,110,367,2,--,15
9546,Municipal Council,4.2,Nagpur +64 other locations,,0,"Work Life Balance, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Job Security",110,414,2,--,3
9547,JK Organisation,4.0,Auto Components,New Delhi,30,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,110,569,7,--,2
9548,Emirates Global Aluminium,4.0,Metals & Mining,Dubai,6,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,110,278,8,--,10
9549,IT Convergence,3.1,IT Services & Consulting,Hyderabad / Secunderabad,2,"Promotions / Appraisal, Job Security, Work Satisfaction",,110,842,10,--,8
9550,Baazi Games,3.5,IT Services & Consulting,New Delhi,4,"Job Security, Promotions / Appraisal, Skill Development / Learning",,110,679,19,9,7
9551,NGL Fine Chem,3.9,Pharma,Mumbai,5,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,110,572,9,13,4
9552,MSL Group,3.3,New Delhi +19 other locations,,0,"Promotions / Appraisal, Work Satisfaction, Company Culture",,111,534,8,7,6
9553,Applied Cloud Computing,2.5,IT Services & Consulting,Mumbai,8,"Promotions / Appraisal, Company Culture, Work Satisfaction",,111,740,17,3,2
9554,Gandhar Oil Refinery India,3.5,Oil & Gas,Mumbai,23,"Promotions / Appraisal, Company Culture, Work Satisfaction",,110,467,7,--,5
9555,Global Group,3.9,Engineering & Construction,Pune,7,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,110,496,7,8,6
9556,Tag Corporation,3.4,Industrial Machinery,Chennai,3,"Salary & Benefits, Promotions / Appraisal, Company Culture",,110,646,9,--,10
9557,Extinct Fire Engineers,4.0,Industrial Machinery,Mumbai,13,"Company Culture, Work Life Balance, Skill Development / Learning",,110,304,2,1,10
