,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
1923,RMC Readymix,3.7,Building Material,Mumbai,66,"Promotions / Appraisal, Company Culture, Work Satisfaction",,541,1.4k,42,5,54
1924,Maini Precision Products,3.4,Auto Components,Bangalore / Bengaluru,12,"Promotions / Appraisal, Salary & Benefits, Company Culture",,541,2.8k,40,15,39
1925,HUDL,3.1,Software Product,Mumbai,17,"Promotions / Appraisal, Skill Development / Learning, Job Security",,541,1.8k,62,2,30
1926,Alcon,3.8,Medical Equipment,Bangalore / Bengaluru,38,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,540,2.7k,41,59,44
1927,UTL Solar,3.6,Electronics Manufacturing,New Delhi,73,"Promotions / Appraisal, Company Culture, Job Security",,541,1.7k,56,42,27
1928,Maxop Engineering Co.,4.1,Auto Components,Gurgaon / Gurugram,15,"Salary & Benefits, Work Life Balance, Skill Development / Learning",,540,2.3k,44,4,30
1929,RAK Ceramics,3.8,Building Material,Kakinada,58,Promotions / Appraisal,,540,1.6k,32,2,48
1930,Mahendra NextWealth IT,3.4,IT Services & Consulting,Salem,25,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,539,1.8k,25,8,16
1931,HashedIn by Deloitte,4.0,IT Services & Consulting,Bangalore / Bengaluru,16,"Job Security, Company Culture, Skill Development / Learning",,539,5.1k,136,2,44
1932,Andritz Hydro Location India,3.8,Chennai +28 other locations,,0,Job Security,Promotions / Appraisal,539,2.6k,33,3,42
1933,Marelli,3.6,Auto Components,Gurgaon / Gurugram,18,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",,539,2.7k,43,1,68
1934,Exicom,4.0,Semiconductors,Gurgaon / Gurugram,27,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,540,2.5k,42,13,45
1935,Renault,4.1,Automobile,Chennai,146,"Work Life Balance, Company Culture, Work Satisfaction",,538,1.8k,31,--,47
1936,Iron Mountain Inc,3.8,IT Services & Consulting,Bangalore / Bengaluru,47,Work Life Balance,Promotions / Appraisal,537,2.9k,29,8,48
1937,CTS Consulting & Technical Support,3.7,Engineering & Construction,Chennai,31,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,538,6.9k,172,--,72
1938,Navin Fluorine International,3.8,Chemicals,Surat,17,"Job Security, Salary & Benefits","Promotions / Appraisal, Company Culture, Work Satisfaction",538,2.6k,28,5,44
1939,Sandoz,4.0,Pharma,Hyderabad / Secunderabad,20,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,538,2.3k,24,7,46
1940,Prestige Group,4.3,Real Estate,Bangalore / Bengaluru,30,"Work Life Balance, Job Security, Company Culture",,538,2.5k,44,6,52
1941,Kellogg Brown and Root,4.1,Engineering & Construction,Chennai,36,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,537,2.2k,40,87,50
1942,FiveS Digital,3.4,BPO,Jamshedpur,27,"Salary & Benefits, Promotions / Appraisal, Job Security",,538,1.4k,53,12,5
1943,Cpf India,4.0,Food Processing,Bangalore / Bengaluru,58,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,537,1.6k,25,--,60
1944,Kiya.ai,3.6,IT Services & Consulting,Mumbai,18,"Promotions / Appraisal, Company Culture, Work Satisfaction",,538,4.1k,51,175,27
1945,Sir H. N. Reliance Foundation Hospital and Research,4.3,Healthcare,Mumbai,10,"Job Security, Skill Development / Learning, Salary & Benefits",,537,1.1k,127,13,9
1946,Harman Finochem,3.7,Pharma,Aurangabad,15,"Promotions / Appraisal, Company Culture, Job Security",,537,2.8k,42,9,32
1947,Paramount Health Services Tpa,3.8,Insurance,Mumbai,37,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",537,2.3k,33,21,37
1948,"DATAMARK, Inc.",3.4,BPO,Chennai,13,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,536,1.6k,31,46,46
1949,Medlife,3.7,Internet,Bangalore / Bengaluru,28,"Job Security, Promotions / Appraisal, Salary & Benefits",,536,2.1k,27,--,60
1950,Offshore Infrastructures,4.2,Engineering & Construction,Mumbai,51,"Job Security, Work Life Balance, Company Culture",,536,1.7k,20,--,60
1951,Virtual Employee,3.3,Recruitment,Noida,22,"Promotions / Appraisal, Job Security, Skill Development / Learning",,536,3.1k,51,1,52
1952,The Times of India,3.6,Media & Entertainment,New Delhi,53,"Promotions / Appraisal, Job Security, Salary & Benefits",,537,2.8k,42,--,53
1953,ArcelorMittal,4.1,Iron & Steel,Surat,49,"Work Life Balance, Job Security, Skill Development / Learning",,536,2.6k,38,6,23
1954,CompuCom,3.8,IT Services & Consulting,Pune,7,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",535,3.1k,37,9,60
1955,Wow Momo Foods,3.5,Hospitality,Kolkata,51,"Promotions / Appraisal, Work Satisfaction, Company Culture",,535,1.8k,46,2,20
1956,Mr Cooper,4.0,Financial Services,Chennai,11,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",535,3.2k,105,17,33
1957,QSpiders,3.7,Education & Training,Bangalore / Bengaluru,26,"Promotions / Appraisal, Job Security, Salary & Benefits",,536,1.7k,92,98,19
1958,RadiSys,3.8,Telecom,Bangalore / Bengaluru,11,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,534,2.3k,49,--,54
1959,Hi Tech Gears,4.0,Auto Components,Bhiwadi,28,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,534,2.1k,29,--,63
1960,Vyapar,3.5,Software Product,Bangalore / Bengaluru,38,"Job Security, Promotions / Appraisal, Work Life Balance",,534,2k,68,62,37
1961,Kauvery Hospital,4.0,Healthcare,Chennai,20,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,535,2k,34,30,19
1962,Maharashtra Seamless,3.4,Building Material,Mumbai,25,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",533,1.9k,51,7,35
1963,Enco Engineers Combine,3.7,Auto Components,Gurgaon / Gurugram,17,"Promotions / Appraisal, Job Security",,534,1.5k,29,--,39
1964,RuralShores,3.6,BPO,Bangalore / Bengaluru,47,"Promotions / Appraisal, Salary & Benefits, Company Culture",,533,1.1k,22,--,61
1965,Craftsman Automation,3.8,Auto Components,Coimbatore,25,"Salary & Benefits, Skill Development / Learning","Company Culture, Work Life Balance, Promotions / Appraisal",534,2.3k,23,--,58
1966,SIS Prosegur Holdings,3.4,Law Enforcement & Security,New Delhi,88,"Promotions / Appraisal, Salary & Benefits, Job Security",,533,1.4k,17,6,42
1967,Yokohama,3.6,Auto Components,Bahadurgarh,43,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",533,2k,25,--,60
1968,BLK Super Speciality Hospital,3.9,Healthcare,New Delhi,15,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",533,1.5k,33,--,38
1969,Kirloskar Pneumatic,4.0,Industrial Machinery,Pune,19,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,532,2.5k,36,2,42
1970,Sulzer,3.9,Industrial Machinery,Pune,24,Salary & Benefits,Promotions / Appraisal,532,2.6k,35,2,60
1971,Eicher Motors,4.1,Automobile,Indore,95,"Skill Development / Learning, Company Culture, Work Life Balance",,532,1.6k,41,--,43
1972,Infiniti Research,3.5,Bangalore / Bengaluru +8 other locations,,0,"Company Culture, Work Satisfaction, Job Security",,531,1.6k,37,9,68
1973,AM Infoweb,3.9,BPO,Pune,8,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,531,1.3k,86,38,47
1974,Carlsberg,4.0,Beverage,Gurgaon / Gurugram,65,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,531,1.8k,35,4,57
1975,MITS Global Consulting,4.5,Recruitment,Mumbai,12,"Work Life Balance, Company Culture, Work Satisfaction",,531,856,37,--,104
1976,DM Immigration Consultant,1.0,Other,Bangalore / Bengaluru,3,"Company Culture, Work Life Balance, Work Satisfaction",,530,28,--,--,--
1977,Maxgen Technologies,4.5,IT Services & Consulting,Pune,8,"Company Culture, Work Life Balance, Work Satisfaction",,530,1.1k,14,--,114
1978,Country Delight,3.9,Food Processing,Gurgaon / Gurugram,34,Salary & Benefits,Promotions / Appraisal,531,2.3k,39,2,11
1979,Titan Engineering & Automation,3.8,Engineering & Construction,Hosur,16,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Work Life Balance",531,2.6k,36,5,35
1980,Roop Polymers,4.0,Auto Components,Gurgaon / Gurugram,25,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,529,1.8k,28,--,41
1981,Zolo,3.3,Internet,Bangalore / Bengaluru,24,"Promotions / Appraisal, Company Culture, Work Life Balance",,529,2.1k,58,26,36
1982,Laxmi Organic Industries,3.9,Chemicals,Mahad,19,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,529,2k,40,4,46
1983,Fenesta Building Systems,4.0,Building Material,Gurgaon / Gurugram,71,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,529,1.8k,35,19,38
1984,House Of Anita Dongre,4.2,Fashion & Textile,Mumbai,47,"Work Life Balance, Company Culture, Work Satisfaction",,528,1.5k,18,3,60
1985,Avaada Group,4.3,Power,Noida,64,"Work Life Balance, Job Security, Company Culture",,528,2k,46,8,33
1986,Datamatics Business Solutions,3.3,Management Consulting,Mumbai,12,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,528,2.4k,44,14,30
1987,S P Singla Constructions,3.5,Engineering & Construction,Patna,60,"Promotions / Appraisal, Salary & Benefits, Company Culture",,527,1.6k,37,--,39
1988,Systra Consulting,3.9,Engineering & Construction,New Delhi,39,Work Life Balance,Promotions / Appraisal,529,1.6k,36,96,57
1989,Stock Holding Corporation of India,3.6,Financial Services,Mumbai,100,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",528,1.7k,32,--,43
1990,MAQ Software,2.9,IT Services & Consulting,Noida,10,"Company Culture, Work Life Balance, Work Satisfaction",,527,3.6k,141,5,26
1991,Kidzee,3.9,EdTech,Kolkata,116,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Salary & Benefits,527,1.2k,24,1,42
1992,Bharat Fritz Werner,3.8,Industrial Machinery,Bangalore / Bengaluru,18,"Promotions / Appraisal, Salary & Benefits",,526,2.3k,32,1,47
1993,Groupm Media,3.7,Marketing & Advertising,Gurgaon / Gurugram,27,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",526,3.8k,38,3,35
1994,OMICS International,2.5,Printing & Publishing,Hyderabad / Secunderabad,6,"Promotions / Appraisal, Job Security, Salary & Benefits",,525,1.8k,25,--,60
1995,LendingKart,3.5,NBFC,Ahmedabad,44,"Promotions / Appraisal, Job Security, Work Satisfaction",,527,2.6k,36,8,22
1996,Ambit Finvest,4.0,NBFC,Mumbai,105,"Work Life Balance, Salary & Benefits, Company Culture",,525,1.8k,24,4,14
1997,Tracxn,2.9,Internet,Bangalore / Bengaluru,11,"Job Security, Promotions / Appraisal, Skill Development / Learning",,524,2.4k,110,98,36
1998,Wellness Forever Medicare,3.8,Retail,Mumbai,41,"Skill Development / Learning, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits",524,1.7k,54,5,36
1999,Capital Business Systems,3.6,IT Services & Consulting,New Delhi,111,"Promotions / Appraisal, Salary & Benefits, Company Culture",,524,1.5k,31,16,5
2000,Dusters Total Solutions Services,3.9,Facility Management Services,Bangalore / Bengaluru,61,Work Life Balance,Promotions / Appraisal,524,1.5k,20,2,42
2001,Quikr,3.5,Internet,Bangalore / Bengaluru,24,"Work Satisfaction, Job Security, Promotions / Appraisal",,523,2.2k,33,9,57
2002,GSPANN Technologies,4.1,IT Services & Consulting,Hyderabad / Secunderabad,9,"Work Life Balance, Company Culture, Job Security",,523,3.4k,46,64,32
2003,Castrol,4.2,Petrochemicals,Mumbai,120,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,524,1.9k,23,--,48
2004,Tradeshala,4.5,Education & Training,Bangalore / Bengaluru,8,"Work Life Balance, Skill Development / Learning, Company Culture",,523,33,118,--,7
2005,Reliance Life Sciences,3.6,Clinical Research,Mumbai,34,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",522,2.5k,29,--,56
2006,FMC Corporation,3.9,Agro Chemicals,Bharuch,116,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal,522,1.7k,39,--,47
2007,CDK Global,3.8,IT Services & Consulting,Hyderabad / Secunderabad,7,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal",522,3.4k,40,28,69
2008,Celebi Aviation Holding,3.9,Aviation,Mumbai,15,"Job Security, Skill Development / Learning",Promotions / Appraisal,522,897,29,--,1
2009,Fena,4.1,FMCG,New Delhi,83,"Job Security, Company Culture, Work Life Balance",,521,1.4k,29,1,43
2010,Karvy Data Management Services,4.0,Analytics & KPO,Hyderabad / Secunderabad,81,"Work Satisfaction, Company Culture, Work Life Balance",,521,2.2k,16,--,125
2011,Ziqitza Health Care,3.9,Healthcare,Mumbai,60,Work Life Balance,"Promotions / Appraisal, Job Security",521,1.2k,25,--,71
2012,Sterling,4.0,Healthcare,Mumbai,63,Salary & Benefits,Promotions / Appraisal,521,1k,34,1,61
2013,Mecon,3.9,Metals & Mining,Ranchi,49,Work Life Balance,"Promotions / Appraisal, Job Security",520,1.6k,44,--,35
2014,Vimta Labs,3.4,Clinical Research,Hyderabad / Secunderabad,29,"Promotions / Appraisal, Salary & Benefits, Company Culture",,520,2.1k,39,8,54
2015,Jaipur Rugs,4.3,Fashion & Textile,Jaipur,20,"Company Culture, Skill Development / Learning, Work Life Balance",,521,825,50,16,20
2016,Canon,4.0,Consumer Electronics & Appliances,Gurgaon / Gurugram,66,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,520,1.9k,22,16,61
2017,Infinity Learn,4.1,EdTech,Hyderabad / Secunderabad,17,"Salary & Benefits, Company Culture, Skill Development / Learning",,520,1.8k,77,57,6
2018,Micron Electricals,4.0,Engineering & Construction,Bangalore / Bengaluru,18,"Job Security, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,520,2.3k,37,2,26
2019,Macawber Beekay,4.2,Industrial Machinery,Noida,59,"Job Security, Work Life Balance, Work Satisfaction",,520,1.6k,21,14,62
2020,EC-Council,4.1,EdTech,Hyderabad / Secunderabad,18,"Work Life Balance, Company Culture, Work Satisfaction",,519,2.4k,49,23,42
2021,Anudip Foundation,3.7,Non-Profit,Kolkata,61,"Promotions / Appraisal, Job Security",,519,1.2k,158,24,37
2022,Foray Software,3.4,IT Services & Consulting,Hyderabad / Secunderabad,17,"Job Security, Promotions / Appraisal, Company Culture",,519,3.6k,39,32,24
2023,N.C.L. Industries,3.8,Building Material,Hyderabad / Secunderabad,69,"Promotions / Appraisal, Salary & Benefits",,518,1.6k,37,2,38
2024,Ge India Industrial,4.1,Industrial Machinery,Pune,22,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,518,2k,19,--,21
2025,Ralson Tyres Limited,3.6,Auto Components,Ludhiana,52,"Promotions / Appraisal, Salary & Benefits, Company Culture",,518,2k,43,11,30
2026,Scaler Academy,3.5,EdTech,Bangalore / Bengaluru,8,"Job Security, Promotions / Appraisal, Skill Development / Learning",,518,2.4k,85,9,83
2027,ACTE,4.7,Education & Training,Chennai,10,"Work Satisfaction, Job Security, Promotions / Appraisal",,517,105,9,--,173
2028,Welspun Enterprises,4.1,Engineering & Construction,Mumbai,49,"Salary & Benefits, Company Culture, Work Life Balance",,518,1.7k,51,--,37
2029,Legrand,3.7,Electrical Equipment,Mumbai,58,"Promotions / Appraisal, Company Culture, Work Satisfaction",,517,2.2k,25,--,42
2030,Emaar India Limited,3.6,Real Estate,Gurgaon / Gurugram,18,"Promotions / Appraisal, Work Satisfaction, Job Security",,517,2.3k,27,11,40
2031,ExxonMobil,3.8,Oil & Gas,Bangalore / Bengaluru,39,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",516,3.7k,80,330,57
2032,ATS Infrastructure,4.1,Real Estate,Noida,13,"Work Life Balance, Company Culture, Work Satisfaction",,516,1.8k,31,--,59
2033,Vishwa Samudra Engineering,3.7,Engineering & Construction,Hyderabad / Secunderabad,42,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",517,1.5k,32,--,11
2034,Wockhardt Hospital,4.0,Healthcare,Mumbai,27,"Company Culture, Work Life Balance, Job Security",,516,1.6k,22,22,61
2035,MR.DIY,3.4,Retail,Mumbai,81,"Company Culture, Work Life Balance, Work Satisfaction",,516,1.3k,45,5,9
2036,Hitachi Cash Management Services,3.3,Other,Mumbai,94,"Promotions / Appraisal, Company Culture, Work Satisfaction",,515,1.2k,35,7,32
2037,Vivanta by Taj,4.2,Hospitality,New Delhi,48,"Job Security, Skill Development / Learning, Company Culture",,516,987,27,--,75
2038,V.S.T Tillers Tractors,3.5,Industrial Machinery,Bangalore / Bengaluru,56,"Company Culture, Work Satisfaction, Promotions / Appraisal",,515,1.8k,39,7,36
2039,Zycus Infotech,2.7,Software Product,Mumbai,9,"Promotions / Appraisal, Company Culture, Work Life Balance",,515,3.2k,76,116,49
2040,DFM Foods,4.0,FMCG,New Delhi,79,"Salary & Benefits, Company Culture, Work Life Balance",,515,1.6k,36,2,39
2041,AML RightSource,2.7,IT Services & Consulting,New Delhi,9,"Job Security, Company Culture, Promotions / Appraisal",,516,2.7k,50,44,8
2042,Chaayos,3.4,Retail,New Delhi,22,"Work Satisfaction, Work Life Balance, Job Security",,514,1.5k,37,17,53
2043,Uttar Pradesh Power Corporation,4.0,Power,Lucknow,89,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,516,1.2k,10,--,38
2044,Allianz Partners,3.8,Insurance,Gurgaon / Gurugram,18,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",514,2.5k,38,--,31
2045,Amar Ujala,3.9,Printing & Publishing,Noida,54,"Job Security, Company Culture",Promotions / Appraisal,513,1.7k,20,5,48
2046,Satyam Auto Components,3.9,Auto Components,Gurgaon / Gurugram,27,Job Security,Promotions / Appraisal,513,2.2k,34,--,40
2047,Vakrangee,3.8,BPO,Mumbai,91,"Promotions / Appraisal, Job Security",,513,1.1k,9,--,66
2048,Coats,3.7,Fashion & Textile,Bangalore / Bengaluru,54,"Promotions / Appraisal, Salary & Benefits, Job Security",,513,1.8k,24,46,46
2049,Bharat Gears,4.1,Auto Components,Faridabad,23,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,512,2k,26,--,43
2050,JK Tech,3.7,IT Services & Consulting,Bangalore / Bengaluru,20,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",513,3.2k,36,4,30
2051,Nivea,4.1,Beauty & Personal Care,Mumbai,69,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,512,1.7k,28,9,49
2052,Magma General Insurance Limited,3.7,Insurance,Mumbai,87,"Promotions / Appraisal, Work Satisfaction, Job Security",,511,2.2k,30,59,34
2053,Metalman Auto,3.9,Auto Components,Aurangabad,23,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",511,1.9k,24,7,34
2054,My Home Constructions,4.2,Real Estate,Hyderabad / Secunderabad,18,"Job Security, Work Life Balance, Company Culture",,510,2.1k,34,7,29
